population,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag
signal,242.17307791520327,2.1871426406151397,480.7736513762789,108.84412112426297,-23.599587113817144,3.463189493441823
field_control,163.41586622747653,-20.176024687843693,480.7736513762789,3.972550521387355,26.571131478502387,3.9480785700082204
projection_control,127.76316605515946,-65.8562132772557,343.6997865213966,-45.67180478931911,-76.14822149794955,4.1667886573121695
signal,286.805302988894,-2.386270901368825,92.5588164285804,8.423174228550863,-3.9029750585997736,7.021164184678673
field_control,146.8567335795467,57.81017399081163,92.5588164285804,-1.4145207119265872,-4.499387797545814,6.809009067470875
projection_control,42.735274383280114,-2.0583858966253454,410.2679221663288,65.6538881175623,-45.932557374642364,3.722661459361051
signal,90.16844356529963,-71.57095335085104,240.4159155257086,-30.887847988064514,-54.46961605452671,4.933790368539362
field_control,179.0083728682428,-27.47013247675024,240.4159155257086,-36.24403990392149,32.320503766833724,4.400250470107701
projection_control,229.09474135201478,61.01849210713636,470.6260993434899,-122.11997265391446,-32.86067464965526,3.664500655695848
signal,224.95467585851958,-18.51206518718694,319.30406776134885,82.03638224401932,-11.708685476044387,4.618911122793084
field_control,14.557979236558083,78.00036658242794,319.30406776134885,-88.77561924833364,-83.22402341039141,4.665836189229454
projection_control,314.2293917636392,10.968153387199106,329.49871941441825,-27.31218622140328,14.680938244432527,4.078711448368389
signal,205.8285539317495,-13.863450362992458,782.7040395086849,196.78340151864495,-44.36497652582577,2.5557264646221696
field_control,321.40560831143756,19.90900777129343,782.7040395086849,98.93504899683424,128.86241471347893,2.4408530951327467
projection_control,192.93662838676252,-8.087565718259528,347.40317911305476,27.38754323658252,-72.94713667222402,4.162103820104572
signal,299.8189356437776,-11.674674044230759,782.7608392612128,14.196927329628203,10.28960635216573,2.4454077397836347
field_control,359.389136064225,-4.1849966094598985,782.7608392612128,175.81051150512306,147.2989369092748,2.4665580125955353
projection_control,349.5384898576627,7.4794521846222874,417.4584433988516,23.74296629053081,-73.41324589863662,3.8000110302045966
signal,326.1913417732538,9.226906633171195,1190.3275703899108,-118.29910666958433,-95.1569164635009,1.6765714142358836
field_control,65.33536494913152,13.107621038246563,1190.3275703899108,201.99785394309515,106.77325276170805,1.527317417737379
projection_control,63.775268360145205,32.90541652270697,292.2014594616571,21.495652432562142,39.005440438632725,5.0722592327668075
signal,4.376437731859251,3.85347265465149,158.52027860206354,-35.80208496670656,-7.157497715204736,5.702117752955109
field_control,43.33786731886311,-27.060923359230348,158.52027860206354,-12.208988001737392,-28.984834263330818,6.069076846992116
projection_control,179.32677967729526,71.51178265619211,270.44063827496007,5.41835772618191,65.14064665809931,4.709443100052418
